plaisir;pleasure;NonConnait;0;0
ville;city;NonConnait;0;0
téléphone;phone;NonConnait;0;0
banque;bank;NonConnait;0;0
douleur;pain;NonConnait;0;0
boisson;drink;NonConnait;0;0
banane;banana;NonConnait;0;0
maison;house;NonConnait;0;0
haut;high;NonConnait;0;0
saison;season;NonConnait;0;0
dîner;dinner;NonConnait;0;0
rivière;river;NonConnait;0;0
sœur;sister;NonConnait;0;0
chien;dog;NonConnait;0;0
rue;street;NonConnait;0;0
tomate;tomato;NonConnait;0;0
bonbon;candy;NonConnait;0;0
petit-déjeuner;breakfast;NonConnait;0;0
vieux;old;NonConnait;0;0
pain;bread;NonConnait;0;0
faible;weak;NonConnait;0;0
œuf;egg;NonConnait;0;0
bête;stupid;NonConnait;0;0
